x_original,nm,cm^-1,intensity
934.53,949.62,2203.68,25167.00
934.48,949.56,2203.10,31517.00
934.42,949.51,2202.51,28517.00
934.37,949.46,2201.92,25367.00
934.32,949.40,2201.33,24003.00
934.27,949.35,2200.74,27125.00
934.21,949.30,2200.15,24071.00
934.16,949.24,2199.56,26172.00
934.11,949.19,2198.98,28805.00
934.06,949.14,2198.39,24712.00
934.01,949.09,2197.80,25668.00
933.95,949.03,2197.21,24167.00
933.90,948.98,2196.62,27301.00
933.85,948.93,2196.03,21998.00
933.80,948.87,2195.44,22874.00
933.75,948.82,2194.85,26241.00
933.69,948.77,2194.26,25975.00
933.64,948.71,2193.67,21500.00
933.59,948.66,2193.08,23916.00
933.54,948.61,2192.50,26213.00
933.49,948.55,2191.91,27569.00
933.43,948.50,2191.32,27048.00
933.38,948.45,2190.73,27089.00
933.33,948.39,2190.14,26815.00
933.28,948.34,2189.55,24417.00
933.22,948.29,2188.96,26368.00
933.17,948.23,2188.37,22580.00
933.12,948.18,2187.78,25443.00
933.07,948.13,2187.19,23411.00
933.02,948.08,2186.60,20823.00
932.96,948.02,2186.01,29440.00
932.91,947.97,2185.42,24020.00
932.86,947.92,2184.83,24087.00
932.81,947.86,2184.24,26459.00
932.76,947.81,2183.65,23279.00
932.70,947.76,2183.06,27122.00
932.65,947.70,2182.46,23906.00
932.60,947.65,2181.87,28555.00
932.55,947.60,2181.28,19386.00
932.50,947.54,2180.69,23638.00
932.44,947.49,2180.10,22631.00
932.39,947.44,2179.51,26240.00
932.34,947.38,2178.92,26106.00
932.29,947.33,2178.33,25536.00
932.23,947.28,2177.74,25362.00
932.18,947.22,2177.15,29084.00
932.13,947.17,2176.55,35990.00
932.08,947.12,2175.96,25142.00
932.03,947.06,2175.37,20831.00
931.97,947.01,2174.78,25799.00
931.92,946.96,2174.19,28643.00
931.87,946.91,2173.60,29743.00
931.82,946.85,2173.01,28965.00
931.77,946.80,2172.41,28628.00
931.71,946.75,2171.82,26714.00
931.66,946.69,2171.23,23617.00
931.61,946.64,2170.64,24143.00
931.56,946.59,2170.05,21394.00
931.51,946.53,2169.45,26696.00
931.45,946.48,2168.86,23293.00
931.40,946.43,2168.27,32082.00
931.35,946.37,2167.68,25922.00
931.30,946.32,2167.09,24768.00
931.25,946.27,2166.49,25627.00
931.19,946.21,2165.90,26904.00
931.14,946.16,2165.31,24667.00
931.09,946.11,2164.72,26594.00
931.04,946.05,2164.12,24763.00
930.98,946.00,2163.53,29576.00
930.93,945.95,2162.94,27952.00
930.88,945.90,2162.35,24330.00
930.83,945.84,2161.75,22450.00
930.78,945.79,2161.16,31475.00
930.72,945.74,2160.57,32528.00
930.67,945.68,2159.97,26460.00
930.62,945.63,2159.38,24003.00
930.57,945.58,2158.79,22917.00
930.52,945.52,2158.19,23037.00
930.46,945.47,2157.60,25812.00
930.41,945.42,2157.01,29072.00
930.36,945.36,2156.41,22765.00
930.31,945.31,2155.82,26021.00
930.26,945.26,2155.23,31002.00
930.20,945.20,2154.63,27167.00
930.15,945.15,2154.04,27823.00
930.10,945.10,2153.44,29323.00
930.05,945.04,2152.85,32043.00
929.99,944.99,2152.26,23203.00
929.94,944.94,2151.66,26947.00
929.89,944.88,2151.07,26403.00
929.84,944.83,2150.47,26566.00
929.79,944.78,2149.88,24968.00
929.73,944.73,2149.29,29759.00
929.68,944.67,2148.69,29322.00
929.63,944.62,2148.10,27956.00
929.58,944.57,2147.50,22466.00
929.53,944.51,2146.91,27311.00
929.47,944.46,2146.31,29211.00
929.42,944.41,2145.72,31016.00
929.37,944.35,2145.12,26486.00
929.32,944.30,2144.53,27356.00
929.27,944.25,2143.93,27697.00
929.21,944.19,2143.34,28952.00
929.16,944.14,2142.74,28362.00
929.11,944.09,2142.15,33858.00
929.06,944.03,2141.55,26340.00
929.00,943.98,2140.96,27963.00
928.95,943.93,2140.36,29464.00
928.90,943.87,2139.77,31141.00
928.85,943.82,2139.17,25892.00
928.80,943.77,2138.58,28300.00
928.74,943.72,2137.98,34355.00
928.69,943.66,2137.39,36416.00
928.64,943.61,2136.79,24652.00
928.59,943.56,2136.19,28756.00
928.54,943.50,2135.60,24507.00
928.48,943.45,2135.00,23632.00
928.43,943.40,2134.41,24799.00
928.38,943.34,2133.81,25326.00
928.33,943.29,2133.21,27034.00
928.28,943.24,2132.62,32804.00
928.22,943.18,2132.02,33698.00
928.17,943.13,2131.43,26392.00
928.12,943.08,2130.83,27872.00
928.07,943.02,2130.23,37511.00
928.02,942.97,2129.64,32195.00
927.96,942.92,2129.04,28491.00
927.91,942.86,2128.44,27110.00
927.86,942.81,2127.85,27858.00
927.81,942.76,2127.25,26471.00
927.75,942.70,2126.65,27695.00
927.70,942.65,2126.06,27799.00
927.65,942.60,2125.46,24788.00
927.60,942.55,2124.86,26677.00
927.55,942.49,2124.26,31793.00
927.49,942.44,2123.67,25114.00
927.44,942.39,2123.07,23427.00
927.39,942.33,2122.47,34955.00
927.34,942.28,2121.88,25955.00
927.29,942.23,2121.28,24957.00
927.23,942.17,2120.68,32041.00
927.18,942.12,2120.08,27292.00
927.13,942.07,2119.49,30300.00
927.08,942.01,2118.89,23650.00
927.03,941.96,2118.29,28799.00
926.97,941.91,2117.69,32560.00
926.92,941.85,2117.09,29475.00
926.87,941.80,2116.50,24742.00
926.82,941.75,2115.90,27352.00
926.76,941.69,2115.30,23584.00
926.71,941.64,2114.70,27776.00
926.66,941.59,2114.10,28292.00
926.61,941.54,2113.50,31011.00
926.56,941.48,2112.91,30149.00
926.50,941.43,2112.31,29202.00
926.45,941.38,2111.71,30196.00
926.40,941.32,2111.11,29191.00
926.35,941.27,2110.51,26798.00
926.30,941.22,2109.91,31786.00
926.24,941.16,2109.31,29646.00
926.19,941.11,2108.72,34417.00
926.14,941.06,2108.12,26055.00
926.09,941.00,2107.52,28063.00
926.04,940.95,2106.92,31777.00
925.98,940.90,2106.32,28471.00
925.93,940.84,2105.72,24770.00
925.88,940.79,2105.12,28956.00
925.83,940.74,2104.52,28561.00
925.77,940.68,2103.92,28578.00
925.72,940.63,2103.32,26645.00
925.67,940.58,2102.72,25489.00
925.62,940.52,2102.12,26264.00
925.57,940.47,2101.52,30799.00
925.51,940.42,2100.92,26189.00
925.46,940.37,2100.32,32895.00
925.41,940.31,2099.72,30145.00
925.36,940.26,2099.12,27829.00
925.31,940.21,2098.52,34263.00
925.25,940.15,2097.92,32872.00
925.20,940.10,2097.32,30833.00
925.15,940.05,2096.72,27854.00
925.10,939.99,2096.12,27137.00
925.05,939.94,2095.52,30851.00
924.99,939.89,2094.92,26028.00
924.94,939.83,2094.32,25239.00
924.89,939.78,2093.72,35929.00
924.84,939.73,2093.12,37768.00
924.79,939.67,2092.52,28325.00
924.73,939.62,2091.92,28320.00
924.68,939.57,2091.32,27623.00
924.63,939.51,2090.72,32250.00
924.58,939.46,2090.12,27111.00
924.52,939.41,2089.52,29115.00
924.47,939.36,2088.91,35793.00
924.42,939.30,2088.31,32500.00
924.37,939.25,2087.71,26682.00
924.32,939.20,2087.11,26963.00
924.26,939.14,2086.51,27462.00
924.21,939.09,2085.91,30478.00
924.16,939.04,2085.31,27132.00
924.11,938.98,2084.70,27732.00
924.06,938.93,2084.10,30686.00
924.00,938.88,2083.50,29728.00
923.95,938.82,2082.90,30310.00
923.90,938.77,2082.30,32147.00
923.85,938.72,2081.70,25657.00
923.80,938.66,2081.09,26062.00
923.74,938.61,2080.49,27263.00
923.69,938.56,2079.89,32187.00
923.64,938.50,2079.29,33352.00
